OFFICIAL_GENE_SYMBOL	Name	Species
MEAF6	MYST/Esa1-associated factor 6(meaf6)	Danio rerio
AEBP2	AE binding protein 2(aebp2)	Danio rerio
NCOA6	nuclear receptor coactivator 6(ncoa6)	Danio rerio
HDAC11	histone deacetylase 11(hdac11)	Danio rerio
ASH1L	ash1 (absent, small, or homeotic)-like (Drosophila)(ash1l)	Danio rerio
DPY30	dpy-30 histone methyltransferase complex regulatory subunit(dpy30)	Danio rerio
ACTR5	ARP5 actin-related protein 5 homolog(actr5)	Danio rerio
PBK	PDZ binding kinase(pbk)	Danio rerio
TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf5)	Danio rerio
SMYD3	SET and MYND domain containing 3(smyd3)	Danio rerio
ZNF217	zinc finger protein 217(znf217)	Danio rerio
NCOA2	nuclear receptor coactivator 2(ncoa2)	Danio rerio
ARRB1	arrestin, beta 1(arrb1)	Danio rerio
mbd6	methyl-CpG binding domain protein 6(mbd6)	Danio rerio
NCL	nucleolin(ncl)	Danio rerio
ING2	inhibitor of growth family, member 2(ing2)	Danio rerio
MASTL	microtubule associated serine/threonine kinase-like(mastl)	Danio rerio
IKZF1	IKAROS family zinc finger 1 (Ikaros)(ikzf1)	Danio rerio
L3MBTL4	l(3)mbt-like 4 (Drosophila)(l3mbtl4)	Danio rerio
SETD7	SET domain containing (lysine methyltransferase) 7(setd7)	Danio rerio
TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor(taf1)	Danio rerio
SFMBT2	Scm-like with four mbt domains 2(sfmbt2)	Danio rerio
SETD1A	SET domain containing 1A(setd1a)	Danio rerio
PRDM6	PR domain containing 6(prdm6)	Danio rerio
INO80	INO80 complex subunit(ino80)	Danio rerio
ZRANB3	zinc finger, RAN-binding domain containing 3(zranb3)	Danio rerio
MTA1	metastasis associated 1(mta1)	Danio rerio
DOT1L	DOT1-like histone H3K79 methyltransferase(dot1l)	Danio rerio
POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)(pole3)	Danio rerio
prkaa1	protein kinase, AMP-activated, alpha 1 catalytic subunit(prkaa1)	Danio rerio
KDM4B	lysine (K)-specific demethylase 4B(kdm4b)	Danio rerio
brca2	breast cancer 2, early onset(brca2)	Danio rerio
AURKA	aurora kinase A(aurka)	Danio rerio
RCOR3	REST corepressor 3(rcor3)	Danio rerio
SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein(syncrip)	Danio rerio
SF3B3	splicing factor 3b, subunit 3(sf3b3)	Danio rerio
ATF7IP	activating transcription factor 7 interacting protein(atf7ip)	Danio rerio
REST	RE1-silencing transcription factor(rest)	Danio rerio
BRD8	bromodomain containing 8(brd8)	Danio rerio
ENY2	enhancer of yellow 2 homolog (Drosophila)(eny2)	Danio rerio
HMG20A	high mobility group 20A(hmg20a)	Danio rerio
EXOSC8	exosome component 8(exosc8)	Danio rerio
LEO1	LEO1 homolog, Paf1/RNA polymerase II complex component(leo1)	Danio rerio
SETDB2	SET domain, bifurcated 2(setdb2)	Danio rerio
prr14	proline rich 14(prr14)	Danio rerio
CDK7	cyclin-dependent kinase 7(cdk7)	Danio rerio
